product_id,event_type,count(event_type)
6845,cart,9
6845,remove_from_cart,10
6846,cart,7
6846,view,48
6846,purchase,4
6846,remove_from_cart,10
6882,view,9
6886,view,19
6901,view,8
6901,purchase,2
6901,cart,5
6902,view,3
6902,purchase,1
6903,cart,2
6903,view,2
6904,view,1
6905,cart,4
6905,view,4
6906,view,7
6906,remove_from_cart,1
6936,remove_from_cart,1
6936,purchase,3
6936,view,66
6936,cart,8
6938,remove_from_cart,23
6938,purchase,18
6938,view,105
6938,cart,49
6939,view,11
6939,purchase,1
6939,cart,8
6939,remove_from_cart,5
6940,view,56
6940,purchase,6
6940,cart,17
6940,remove_from_cart,18
6941,view,534
6941,remove_from_cart,23
6941,cart,54
6941,purchase,14
6942,purchase,9
6942,remove_from_cart,13
6942,cart,15
6942,view,49
6943,purchase,1
6943,remove_from_cart,4
6943,view,16
6943,cart,5
6944,remove_from_cart,3
6944,purchase,4
6944,view,40
6944,cart,9
6945,view,17
6945,purchase,1
6945,cart,2
6946,view,8
6946,cart,4
6947,cart,5
6947,remove_from_cart,3
6947,view,5
6948,cart,5
6948,view,25
6949,view,8
6949,purchase,2
6949,cart,1
6949,remove_from_cart,1
6950,view,8
6950,cart,1
6950,remove_from_cart,1
6951,cart,1
6951,view,5
6963,remove_from_cart,2
6963,purchase,3
6963,cart,7
6963,view,25
6972,view,5
6972,cart,2
6972,purchase,1
6972,remove_from_cart,3
6975,view,2
6977,view,27
6977,cart,15
6977,remove_from_cart,4
6977,purchase,5
6978,remove_from_cart,8
6978,cart,26
6978,purchase,6
6978,view,90
6979,cart,4
6979,purchase,1
6979,view,3
6979,remove_from_cart,1
6991,view,1
6991,cart,1
6992,view,6
7322,view,1
7330,view,5
7333,view,1
7346,view,1
7350,view,4
7355,view,1
7361,view,3
7367,view,1
7372,view,2
7452,view,3
7500,cart,3
7500,view,3
7527,cart,9
7527,purchase,3
7527,remove_from_cart,5
7527,view,22
7556,view,7
7556,cart,3
7556,purchase,1
7561,cart,3
